117.584020     32.036494
117.511950     31.710178
0.200    0.000    0.000      0
0.300    0.000    0.000      0
0.400    0.000    0.000      0
0.500    0.000    0.000      0
0.600    0.000    0.000      0
0.700    0.000    0.000      0
0.800    0.000    0.000      0
0.900    0.000    0.000      0
1.000    0.000    0.000      0
1.100    0.000    0.000      0
1.200    0.000    0.000      0
1.300    0.000    0.000      0
1.400    0.000    0.000      0
1.500    0.000    0.000      0
1.600    1.660    0.000      1
1.700    1.680    0.000      1
1.800    1.700    0.000      1
1.900    1.720    0.000      1
2.000    1.720    0.000      1
2.100    1.740    0.000      1
2.200    1.760    0.000      1
2.300    1.780    0.000      1
2.400    1.800    0.000      1
2.500    1.800    0.000      1
2.600    1.800    0.000      1
2.700    1.820    0.000      1
2.800    1.820    0.000      1
2.900    1.840    0.000      1
3.000    1.860    0.000      1
3.100    1.880    0.000      1
3.200    1.900    0.000      1
3.300    1.920    0.000      1
3.400    1.960    0.000      1
3.500    1.980    0.000      1
3.600    2.000    0.000      1
3.700    2.000    0.000      1
3.800    2.020    0.000      1
3.900    2.020    0.000      1
4.000    2.040    0.000      1
4.100    2.040    0.000      1
4.200    2.060    0.000      1
4.300    2.060    0.000      1
4.400    2.080    0.000      1
4.500    2.080    0.000      1
4.600    2.100    0.000      1
4.700    2.161    0.000      1
4.800    2.221    0.000      1
4.900    2.241    0.000      1
5.000    2.221    0.000      1
