 0.20	2.3222	0.4225
 0.30	2.3234	0.4220
 0.40	2.3289	0.4225
 0.50	2.3324	0.4222
 0.60	2.3394	0.4215
 0.70	2.3503	0.4226
 0.80	2.3580	0.4217
 0.90	2.3694	0.4215
 1.00	2.3833	0.4228
 1.10	2.3985	0.4255
 1.20	2.4142	0.4294
 1.30	2.4285	0.4300
 1.40	2.4414	0.4310
 1.50	2.4578	0.4317
 1.60	2.4742	0.4294
 1.70	2.4925	0.4278
 1.80	2.5104	0.4272
 1.90	2.5326	0.4278
 2.00	2.5496	0.4279
 2.10	2.5612	0.4316
 2.20	2.5775	0.4323
 2.30	2.5900	0.4349
 2.40	2.6033	0.4436
 2.50	2.6189	0.4425
 2.60	2.6285	0.4434
 2.70	2.6436	0.4474
 2.80	2.6549	0.4534
 2.90	2.6702	0.4561
 3.00	2.6778	0.4561
 3.10	2.6779	0.4648
 3.20	2.6918	0.4605
 3.30	2.6993	0.4706
 3.40	2.7087	0.4783
 3.50	2.7370	0.4566
 3.60	2.7369	0.4597
 3.70	2.7530	0.4528
 3.80	2.7515	0.4525
 3.90	2.7402	0.4591
 4.00	2.7273	0.4656
 4.10	2.7127	0.4921
 4.20	2.7304	0.4768
 4.30	2.7530	0.4717
 4.40	2.7838	0.4442
 4.50	2.7691	0.4501
 4.60	2.7427	0.4516
 4.70	2.7480	0.4229
 4.80	2.7087	0.4385
 4.90	2.6903	0.4401
 5.00	2.6986	0.4346
